band	artist_id	country
Artillery	405691	Denmark
Arturo Stalteri	199257	Italy
Arturo Testa	970878	Italy
Ash Code	3844956	Italy
Asinhell	13256076	Denmark
Asociale	1710647	Italy
Assalti Frontali	882101	Italy
Assedium	2905162	Italy
Assemblea Musicale Teatrale	1818287	Italy
Assumption	2988323	Italy
Astaroth	1953369	Italy
Atahualpa	28122	Italy
Ataraxia	149072	Italy
Atlante	178248	Italy
Atomic Mold	5388740	Italy
Aucan	1609939	Italy
Audio 2	1049601	Italy
Audiomatiques	2633219	Italy
Augusto Martelli	330493	Italy
Aura Dione	2499232	Denmark
Aura Safari	7259366	Italy
Aurelio Fierro	455009	Italy
Aurelio Gabrè	920376	Italy
Avion Travel	1400400	Italy
Axel Boesen	2982933	Denmark
Axevyper	2925317	Italy
Azoto	25955	Italy
B for Bang	1743641	Italy
B.R. Stylers	963124	Italy
Baba Yaga	1187321	Italy
Babe Roots	4139794	Italy
Baby K	1983178	Italy
Baby Woodrose	537044	Denmark
Baby's Gang	19800	Italy
Bachi da pietra	971927	Italy
Back To Back	69009	Denmark
Bacon Popper	24331	Italy
Bad Sector	73044	Italy
Bagarre	297755	Italy
Balanço	3754	Italy
Balstyrko	1392712	Denmark
Baltimora	106870	Italy
Bamses Venner	568480	Denmark
Banco del Mutuo Soccorso	353382	Italy
Band Aid	208700	Italy
Banda Bassotti	381115	Italy
Banda Osiris	361410	Italy
Bandabardò	1269926	Italy
Barbados Climax	421050	Italy
Barbara Cola	345493	Italy
Barbara Lory	1847235	Italy
Barcode Brothers	74273	Denmark
Baryonyx	5979382	Italy
Bassa Clan	4269225	Italy
Bassi Maestro	774755	Italy
Baustelle	829559	Italy
Be Forest	2251320	Italy
Beast	5412812	Denmark
Beatrice Antolini	1403733	Italy
Beatrik	837342	Italy
Beau Geste	2216656	Italy
Bebo Baldan	325421	Italy
Bee Bee Sea	4659835	Italy
Beefeaters	1023799	Denmark
Beholder	2531922	Italy
Belen Thomas	363457	Italy
Belfie & Toche	1742332	Italy
Bellini	409622	Italy
Benal	4674688	Denmark
Benassi Bros.	171187	Italy
Bengi	475850	Italy
Beniamino Gigli	436167	Italy
Benny Benassi	93375	Italy
Bent Fabricius-Bjerre	660412	Denmark
Bent Fabricius-Bjerres Orkester	3857274	Denmark
Beppe Gambetta	2053949	Italy
Bersærk	4662760	Denmark
Betty Curtis	1061013	Italy
Biagio Antonacci	230620	Italy
Bichord	5094778	Italy
Bifrost	707376	Denmark
Big Fat Snake	453030	Denmark
Big Fish	3324442	Italy
Big Joe	2736699	Italy
Biga	1425407	Italy
Biglietto per l'Inferno	629080	Italy
Bikstok Røgsystem	272410	Denmark
Billy More	50306	Italy
Birthe Kjær	689305	Denmark
Birthe Wilke	1825984	Denmark
Bisca	233124	Italy
Bismark	6194	Italy
Bit-Max	67311	Italy
Bjarne Lisby	1810425	Denmark
Bjørn Tidmand	1448416	Denmark
Black Box	7289	Italy
Black Hole	2137111	Italy
Black Legend	12963	Italy
Black Machine	32164	Italy
Black Oath	2108380	Italy
Black Rainbows	2330060	Italy
Blasphemophagher	1375622	Italy
Blast	19662	Italy
Blast Furnace	1295287	Denmark
Blessed Child Opera	751757	Italy
Bliss	16712	Denmark
Bliss Team	43978	Italy
Bloody Riot	1436055	Italy
Blown Paper Bags	1387838	Italy
Blue Stuff	2102859	Italy
Blue Vomit	472766	Italy
Bluebeaters	4184874	Italy
Blume	2763317	Italy
Bluvertigo	361408	Italy
Bob Corn	1374993	Italy
Bobby Solo	409131	Italy
Bobo Moreno	1043554	Denmark
Bobo Rondelli	1592797	Italy
Bochum Welt	982	Italy
Bodil Steen	3464060	Denmark
Bologna Violenta	792226	Italy
Boohoos	766548	Italy
Boomdabash	2374816	Italy
Bossa Nostra	52613	Italy
Boston 168	3777272	Italy
Bottin	1181868	Italy
Bottomless	9709495	Italy
Brain Ovulation	82892	Italy
Brando Lupi	226822	Italy
Bravo	949719	Italy
Brdr. Olsen	669860	Denmark
Bremer/McCoy	4362623	Denmark
Bresh	5641711	Italy
Brian Ice	36233	Italy
Briga	3778624	Italy
Brother Brown	4483	Denmark
Brunetta	281969	Italy
Bruno Battisti D'Amario	314527	Italy
Bruno D'Andrea	1503582	Italy
Bruno Dasi	2668893	Italy
Bruno Filippini	1055710	Italy
Bruno Henriksens Arena Orkester	3738387	Denmark
Bruno Lauzi	374646	Italy
Bruno Martino	717590	Italy
Bruno Pallesi	870650	Italy
Bruno Quirinetta	1749761	Italy
Bruno Rosettani	921237	Italy
Bruno Venturini	1602980	Italy
Brunori Sas	2040072	Italy
Brünndl	4656985	Italy
Bud Spencer Blues Explosion	813928	Italy
Bugo	112699	Italy
Bulldozer	260862	Italy
Burhan G	377590	Denmark
Burial	7026596	Italy
Burning Red Ivanhoe	1018058	Denmark
By All Means	1052457	Italy
Børge Friis Med Rytmikere	1396117	Denmark
Børge Rosenbaum	3822166	Denmark
C. V. Jørgensen	464793	Denmark
C.K	4554933	Denmark
C.U.B.A. Cabbal	1701142	Italy
CCCP	256245	Italy
CFF e il Nomade Venerabile	3722494	Italy
CO.RO.	267031	Italy
CSI	146803	Italy
Cabal	5187703	Denmark
Cadaveria	449975	Italy
Cadaveric Crematorium	1589071	Italy
Cafè Caracas	1168355	Italy
Calcutta	971242	Italy
Calibro 35	1332277	Italy
Call the Cops	4607296	Italy
Calomito	1135929	Italy
Calvary	1242355	Italy
Camerata Mediolanense	149126	Italy
Campo di Marte	1678269	Italy
Campos	719509	Italy
Canaan	100081	Italy
Cani	1253585	Italy
Canova	5910987	Italy
Canton	274226	Italy
Cantovivo	2874976	Italy
Canzoniere Grecanico Salentino	2496156	Italy
Canzoniere Internazionale	1268486	Italy
Canzoniere del Lazio	1969325	Italy
Canzoniere delle Lame	1313214	Italy
Caparezza	200304	Italy
Capo Plaza	6413223	Italy
Cappella	7669	Italy
Carillon Del Dolore	718591	Italy
Carl Brave	5738143	Italy
Carl Fischer	3736538	Denmark
Carla Boni	401635	Italy
Carlo Buti	899146	Italy
Carlo Dapporto	2676943	Italy
Carlo Moreno	1063398	Italy
Carlo Pierangeli	2628049	Italy
Carlo Tagliabue	1415870	Italy
Carmelo Zappulla	2118137	Italy
Carmen Consoli	360999	Italy
Carmen Russo	1595483	Italy
Carmen Villani	305274	Italy
Caronte	3018682	Italy
Carpark North	308262	Denmark
Carrara	44956	Italy
Casino Royale	214114	Italy
Catarrhal Noise	5198404	Italy
Caterina Barbieri	4041058	Italy
Caterina Bueno	1791649	Italy
Caterina Caselli	924805	Italy
Caterina Valente	294306	Italy
Catherine Spaak	319969	Italy
Cattive Abitudini	2022590	Italy
Causa Sui	497561	Denmark
Celeste	1302431	Italy
Cervello	1184950	Italy
Cesare Basile	631484	Italy
Cesare Cremonini	904258	Italy
Cesare Poggi	2434213	Italy
Cesco Anselmo	600514	Italy
Change	17967	Italy
Charlie	2951466	Italy
Chase	44146	Italy
Checco Zalone	585186	Italy
Cheetah Chrome Motherfuckers	372560	Italy
Chef Ragoo	2473213	Italy
Chelmno	524516	Italy
Chester	36207	Italy
Chiara Civello	304615	Italy
Chicco Secci	27199	Italy
Chicoria	2091766	Italy
Chief 1	109366	Denmark
Chief e Soci	880686	Italy
Chiello	8746381	Italy
Children of Technology	1508022	Italy
Choir Of Young Believers	865894	Denmark
Chominciamento Di Gioia	881597	Italy
Christian	3551407	Italy
Christian Arhoff	3017772	Denmark
Christian De Sica	2149873	Italy
Christian Gottschalch	4276213	Denmark
Christian Meyer	1035112	Italy
Christopher	2696987	Denmark
Christy	281971	Italy
Chronics	2212191	Italy
Church of Violence	1696189	Italy
Ciao Fellini	176226	Italy
Cicci Santucci	45765	Italy
Cinzia Paglini	3603053	Italy
Circus Joy	73087	Italy
Ciro Sebastianelli	1747674	Italy
Clara Jaione	925020	Italy
Claudia Antonelli	2343633	Italy
Claudia Mori	311515	Italy
Claudio Baglioni	638411	Italy
Claudio Cataldi	1806922	Italy
Claudio Gizzi	634327	Italy
Claudio Lolli	1053623	Italy
Claudio Mattone	698822	Italy
Claudio PRC	881554	Italy
Claudio Rocchi	416225	Italy
Claudio Simonetti	149103	Italy
Claudio Simonetti's Goblin	3807015	Italy
Claudio Tallino	796680	Italy
Claudio Terni	1719275	Italy
Claudio Villa	781235	Italy
Claus Hempler	316075	Denmark
Clausen & Petersen	762783	Denmark
Claver Gold	2230066	Italy
Clem Sacco	890321	Italy
Clementino	1555525	Italy
Clio	154990	Italy
Clockwork	2686693	Italy
Club Dogo	726439	Italy
Club Paradiso	5947167	Italy
Clubhouse	37222	Italy
Cluster	2045896	Italy
Clustersun	4802961	Italy
CoCo	6549413	Italy
Cochi & Renato	712051	Italy
Coez	1711210	Italy
Colapesce	2684107	Italy
Colla Zio	12527926	Italy
Collage	1139724	Italy
Colle der Fomento	878867	Italy
Coma Cose	6717932	Italy
Comaneci	2187249	Italy
Computers	1741170	Italy
Comrades	191013	Italy
Concetta Barra	1724571	Italy
Concrete	1064001	Italy
Confrontational	4716542	Italy
Confusional Quartet	270982	Italy
Contrasto	251698	Italy
Contropotere	335762	Italy
Cor Veleno	1154037	Italy
Core Pusher	20196	Italy
Corona	23387	Italy
Corpsefucking Art	407880	Italy
Corrado Lojacono	1306279	Italy
Corrado Mantoni	1811943	Italy
Corte dei Miracoli	1189124	Italy
Cosimo Di Ceglie	890329	Italy
Cosmetic	2310191	Italy
Crash Box	313943	Italy
Cripple Bastards	253704	Italy
Cristiano De André	1131687	Italy
Cristiano Godano	1034969	Italy
Cristiano Malgioglio	732784	Italy
Cristina D'Avena	1260543	Italy
Cristina Donà	999466	Italy
Croatian Amor	2488562	Denmark
Crookers	718833	Italy
Crown of Autumn	1683534	Italy
Cruisin' Gang	19803	Italy
Crunch	941233	Italy
Crying Steel	2017727	Italy
Cube	100358	Italy
Culpepers Orchard	1345015	Denmark
Cultus Sanguine	269389	Italy
Cut 'N Move	121163	Denmark
CxixB	3616273	Italy
Cyber People	19792	Italy
Cæsar	606202	Denmark
D'Arcangelo	2240	Italy
D-A-D	272991	Denmark
D. D. Sound	66617	Italy
DGM	1940603	Italy
DJ Alligator Project	94019	Denmark
DJ Cerla	38360	Italy
DJ D	688	Italy
DJ Dado	16362	Italy
DJ Double S	1607604	Italy
DJ Farrapo	521927	Italy
DJ Fary	198976	Italy
DJ Fastcut	3113929	Italy
DJ Francesco	213976	Italy
DJ Gius	11546	Italy
DJ Gruff	170972	Italy
DJ Herbie	11951	Italy
DJ Jad	183896	Italy
DJ Lancinhouse	37469	Italy
DJ Mad Dog	20231	Italy
DJ Miko	53440	Italy
DJ Myke	1709357	Italy
DJ Panda	51168	Italy
DJ Professor	13548	Italy
DJ Ross	62735	Italy
DJ Shocca	774745	Italy
DJ Skizo	79187	Italy
DJ Sossa	675499	Italy
DJ Stardust	71769	Italy
DJ Tennis	3024381	Italy
DJ Uovo	21057	Italy
DJ Vortex & Arpa's Dream	48526	Italy
DJ X-Fly	75815	Italy
Da Blitz	44496	Italy
Da Lukas	53976	Italy
Daemonia	275141	Italy
Daily Fauli	1402353	Denmark
Daisy Lumini	1446975	Italy
Dalida	146664	Italy
Dalton	1815467	Denmark
Dan I	656105	Italy
Dan Turèl & Sølvstjernerne	731066	Denmark
Dandi & Ugo	313890	Italy
Dani Faiv	5790857	Italy
Daniel Sentacruz Ensemble	322459	Italy
Daniela Casa	659169	Italy
Daniela Davoli	342222	Italy
Daniela Goggi	729839	Italy
Daniele Baldelli	250959	Italy
Daniele Danieli	71522	Italy
Daniele Di Bonaventura	503228	Italy
Daniele Di Gregorio	378889	Italy
Daniele Gas	128930	Italy
Daniele Kama	1162238	Italy
Daniele Papini	782666	Italy
Daniele Patucchi	61499	Italy
Daniele Serra	1246948	Italy
Daniele Silvestri	382714	Italy
Daniele Tenca	3076546	Italy
Daniele Tignino	45801	Italy
Danilo Rea	630531	Italy
Danilo Vigorito	22748	Italy
Danny Keith	88801	Italy
Danny Trejo	3605072	Italy
Danseorkestret	684843	Denmark
Danser med Drenge	521401	Denmark
Dargen D'Amico	1201631	Italy
Dario Baldan Bembo	380870	Italy
Dario Rodighiero	10312243	Italy
Dario Tilli	1971274	Italy
Dark Lunacy	700097	Italy
Dark Polo Gang	5264000	Italy
Dark Quarterer	311076	Italy
Datura	30878	Italy
Dave Rodgers	161889	Italy
David Riondino	780943	Italy
Davide Cedolin	7380580	Italy
Davide Ruberto	45484	Italy
Davide Shorty	5119299	Italy
Davide Squillace	32847	Italy
Davide Van De Sfroos	705364	Italy
Day Of Phoenix	1014340	Denmark
Daze	13538	Denmark
De Eneste To	1978034	Denmark
De Nattergale	727944	Denmark
De Tre Fra Radioen	11587673	Denmark
DeLaVega	6182000	Italy
Dea Garbaccio	1460566	Italy
Deadsonika	1744976	Italy
Death SS	316312	Italy
Deathrage	913122	Italy
Deathrow	1208582	Italy
Deborah De Luca	3228307	Italy
Deca	73041	Italy
Decibel	1092394	Italy
Declino	426083	Italy
Dedalus	1085651	Italy
Delia Scala	1045027	Italy
Delirium	155385	Italy
Delta Blues Band	762784	Denmark
Delta V	485714	Italy
Delta-Cross Band	762797	Denmark
Demetrio Stratos	328448	Italy
Den Gale Pose	472460	Denmark
Den Harrow	19768	Italy
Den Sorte Skole	914234	Denmark
Denovo	371809	Italy
Dente	1266415	Italy
Derozer	1480202	Italy
Destrage	2278409	Italy
Det Brune Punktum	471802	Denmark
Det Kongelige Kapel	1297439	Denmark
Detestor	2191328	Italy
Detonazione	495740	Italy
Detto Mariano	307664	Italy
Deus ex Machina	1458276	Italy
Devi Tensione	8276696	Italy
Devil Doll	285577	Italy
Devoid of Thought	6259220	Italy
Devotion	7791451	Italy
Dewarsteiner	1938478	Italy
Dhany	52724	Italy
Diaframma	493560	Italy
Diana Est	144193	Italy
Diego Deadman Potron	4962612	Italy
Digi G'Alessio	1489841	Italy
Digital Boy	7400	Italy
Dik Dik	583578	Italy
Dilaila	2599022	Italy
Dimartino	2117533	Italy
Dinkis	3734612	Italy
Dino Borgioli	3036060	Italy
Dino Lenny	13785	Italy
Dino Maggiorana	579977	Italy
Dino Olivieri	761898	Italy
Dino Rubino	4213574	Italy
Dino Sabatini	773271	Italy
Dino Sarti	1136726	Italy
Diodato	4097018	Italy
Dirch Passer	743091	Denmark
Dirotta su Cuba	890011	Italy
Disarmonia Mundi	580663	Italy
Disciplinatha	451330	Italy
Diskofil	365625	Denmark
Disper-Azione	1561231	Italy
Dizzy Mizz Lizzy	257957	Denmark
Djuma Soundsystem	157189	Denmark
Do Nascimiento	2483355	Italy
Doctor 3	2487801	Italy
Doctor's Cat	15979	Italy
Dodi Battaglia	351837	Italy
Dodo and the Dodo's	638330	Denmark
Dolcenera	399362	Italy
Domenico Modugno	311963	Italy
Domine	608606	Italy
Don Antonio	5784198	Italy
Don Backy	891993	Italy
Don Carlos	1188	Italy
Don Joe	1216733	Italy
Donatella Milani	380873	Italy
Donatella Rettore	1773230	Italy
Donatello	1168594	Italy
Donato Dozzy	202097	Italy
Donella Del Monaco	1116200	Italy
Doomsword	274119	Italy
Doomwork	1595366	Italy
Dope Stars Inc	527983	Italy
Dora Moroni	1976855	Italy
Dori Ghezzi	383179	Italy
Dorthe Kollo	692602	Denmark
DoubKore	2460285	Italy
Double Dee	31035	Italy
Double You	7620	Italy
Doublewave	2216306	Italy
Dr. Baker	38417	Denmark
Drakkar	1933413	Italy
DrefGold	6255827	Italy
Drori-Hansen Furniture	396475	Denmark
Drupi	327416	Italy
Dub Hunters	7545380	Italy
Duilio Radici	2745556	Italy
Dumbo Gets Mad	2240437	Italy
Dumbo Station	6724435	Italy
Duo di Piadena	1268485	Italy
Duracel	2120560	Italy
Dusty Kid	499991	Italy
Dynatron	3175199	Denmark
Dúné	855152	Denmark
E.V.O.E.	77096	Italy
EGreen	3654723	Italy
East Side Beat	13537	Italy
Easy Going	3461	Italy
Edda	2682268	Italy
Edda Dell'Orso	100317	Italy
Edda Ollari	2071775	Italy
Eddie Russell	3029220	Denmark
Edge of Universe	110724	Italy
Edi Laider	6199231	Denmark
Edmonda Aldini	1161413	Italy
Edo Pietrogrande	1035038	Italy
Edoardo Bennato	53807	Italy
Edoardo De Angelis	597824	Italy
Edoardo Vianello	372878	Italy
Eduardo De Crescenzo	503124	Italy
Efterklang	234846	Denmark
Egida Aurea	862645	Italy
Egisto Macchi	320915	Italy
Eiffel 65	11149	Italy
Einstein Doctor DJ	27216	Italy
El Pasador	552466	Italy
El Presidente	233751	Italy
Eldritch	376767	Italy
Electric Mind	142345	Italy
Electrocution	666462	Italy
Elena Beltrami	2831143	Italy
Elephant Brain	5563614	Italy
Elettra Lamborghini	6333620	Italy
Eliana Cargnelutti	4756421	Italy
Elio Lotti	1442241	Italy
Elio e le Storie Tese	191166	Italy
Elisa	65897	Italy
Elisabeth	652254	Denmark
Elisabetta Viviani	1299408	Italy
Elisir	22963	Italy
Ellen Gottschalch	2135584	Denmark
Elo Magnussen Og Hans Orkester	2986834	Denmark
Elodie	12484582	Italy
Elsa Jena	3547111	Denmark
Elsa Mazzetti	1694030	Italy
Elsa Merlini	935857	Italy
Elsa Sigfúss	3151666	Denmark
Elvenking	420562	Italy
Emi Doré	2201258	Italy
Emilio Livi	927829	Italy
Emilio Pericoli	1291296	Italy
Emis Killa	2596237	Italy
Emma Marrone	1882275	Italy
Emmanuel	1097313	Italy
En Declin	523051	Italy
En Manque D'Autre	781163	Italy
Enisum	4055258	Italy
Ennio Morricone	15900	Italy
Enrico BSJ Ferrari	7551947	Italy
Enrico Caruso	319180	Italy
Enrico Cascella	1611756	Italy
Enrico Gabrielli	1079953	Italy
Enrico Mantini	55763	Italy
Enrico Montesano	1230042	Italy
Enrico Musiani	1901062	Italy
Enrico Nigiotti	4232032	Italy
Enrico Pieranunzi	298100	Italy
Enrico Rava	243675	Italy
Enrico Rava Quintet	2219240	Italy
Enrico Ruggeri	503126	Italy
Enrico Sangiuliano	1684763	Italy
Enrico Simonetti	521222	Italy
Ensi	1700858	Italy
Enzo & Terry	2200745	Italy
Enzo Aita	919425	Italy
Enzo Amadori	1119092	Italy
Enzo Avitabile	6706	Italy
Enzo Carella	1435331	Italy
Enzo Ceragioli	920110	Italy
Enzo De Muro Lomanto	1831163	Italy
Enzo Di Domenico	2061510	Italy
Enzo Favata	1983364	Italy
Enzo Gragnaniello	385292	Italy
Enzo Jannacci	712046	Italy
Enzo Malepasso	380863	Italy
Enzo Maolucci	2476250	Italy
Enzo Scoppa	45766	Italy
Ephel Duath	263559	Italy
Equipe 84	967455	Italy
Erann DD	39388	Denmark
Erica Mou	2040069	Italy
Erik Michaelsen	3117107	Denmark
Erik Tuxen Og Hans Orkester	3736771	Denmark
Erika	80584	Italy
Erika de Casier	9939589	Denmark
Ermal Meta	2474191	Italy
Ernesto Badini	2034904	Italy
Ernesto Bonino	921313	Italy
Ernia	6180074	Italy
Ernst Borgstrøm	2228541	Denmark
Erode	930542	Italy
Esecutori di Metallo su Carta	6780051	Italy
Estra	503110	Italy
Etnica	4513	Italy
Etrusca 3D	8117865	Italy
Etrusgrave	3010425	Italy
Eu's Arse	1383908	Italy
Eugenia Foligatti	1243702	Italy
Eugenio Bennato	853538	Italy
Eugenio Cibelli	3451379	Italy
Eugenio Finardi	443966	Italy
Eugenio in Via Di Gioia	5101768	Italy
Eva Nova	89108	Italy
Evelina Sironi	1437209	Italy
Eversor	930583	Italy
Evol	262337	Italy
Ex-Otago	1106707	Italy
Excidium	262324	Italy
Extrema	119629	Italy
Ezio Bosso	635033	Italy
Ezra Winston	1445303	Italy
F.ormal L.ogic D.ecay	112671	Italy
FEM Prog Band	3105347	Italy
FPI Project	18726	Italy
Fab Samperi	967682	Italy
Fabi Silvestri Gazzè	4007593	Italy
Fabio Concato	679571	Italy
Fabio Fabor	707941	Italy
Fabio Giannelli	621262	Italy
Fabio Locati	80630	Italy
Fabio Monesi	2473834	Italy
Fabio Orsi	402050	Italy
Fabio Treves	869362	Italy
Fabri Fibra	726440	Italy
Fabrizio Cammarata	5354120	Italy
Fabrizio De André	660740	Italy
Fabrizio Ferretti	1360548	Italy
Fabrizio Lapiana	1168796	Italy
Fabrizio Moro	1088887	Italy
Fabrizio Paterlini	1605089	Italy
Fabrizio Sferra	1936962	Italy
Fallout	62501	Italy
Fanny Cadeo	4662	Italy
Fargetta	18063	Italy
Fast Animals and Slow Kids	2048251	Italy
Fate	1001887	Denmark
Father Murphy	1341095	Italy
