src	trg	nij	score	sdev_cij
1504	6702	1	0.995124307515812	
1504	7292	1	0.9962693893579423	
1504	16362	1	0.988849765258216	
1504	21101	1	0.9982764485769362	
1504	27199	1	0.9962693893579423	
1504	29051	1	0.998994233859533	
1504	42764	1	0.9958398296670731	
1504	45484	1	0.998563500824097	
1504	137860	1	0.998563500824097	
1504	142345	1	0.9895607931388746	
1504	156887	1	0.9969857332260587	
1504	162102	1	0.9932663487096348	
1504	173020	1	0.995124307515812	
1504	276847	2	0.998563500824097	
1504	431537	1	0.995982995688516	
1504	801900	1	0.9982764485769362	
1734	13358	3	0.9984879527636443	
1734	15310	1	0.9930258946646209	
1734	20657	1	0.9968839056559945	
1734	24394	1	0.9985823887316916	
1734	36544	1	0.9886215956472432	
1734	37335	6	0.9998423883337105	
1734	37469	2	0.9967424957015106	
1734	75815	4	0.9994799757574153	
1734	249669	6	0.9990074610570256	
1790	1944	1	0.9947065293055668	
1790	4266	1	0.9963146169240645	
1790	9066	2	0.9976950428306386	
1790	22748	9	0.9985395766536396	
1790	32845	11	0.9986163878650411	
1790	32847	5	0.9973267426230412	
1790	178828	1	0.9928718842764925	
1790	202097	1	0.9821611346688113	
1790	359859	2	0.9753844774245617	
1790	559246	1	0.9963146169240645	
1790	613746	1	0.9917269439421338	
1790	780742	4	0.998846856928972	
1790	790612	2	0.9971196334284956	
1790	948339	1	0.9953953923729582	
1790	1043576	2	0.998846856928972	
1790	1109015	1	0.9965445554089037	
1790	1173236	1	0.9912693360853632	
1790	1684763	1	0.9903547509063597	
1790	2633219	1	0.9933302290683623	
1790	3693507	1	0.9974648392855456	
1790	3818594	1	0.9970045913231359	
1944	4266	2	0.9993041741984767	
1944	9066	1	0.9982613428480716	
1944	22748	2	0.9975233286010207	
1944	32845	2	0.9971328358293527	
1944	32847	4	0.9987391721445887	
1944	95919	1	0.9950527835168256	
1944	559246	1	0.998608832402108	
1944	790612	1	0.9978271507900669	
1944	1173236	1	0.9966991339947654	
2240	3818594	1	0.9999508224937913	
3341	21137	1	0.9937399122079255	
3341	27520	1	0.9875188908354072	
3341	56489	1	0.9906245411108224	
3341	117914	4	0.977185202637698	
3341	157189	1	0.9949887927065802	
3341	157594	2	0.9779526616371449	
3341	247991	2	0.9773386467892052	
3341	387851	6	0.9687822934568685	
3341	740448	2	0.9893811170523005	
3341	760455	3	0.9764183389658163	
3341	771237	3	0.9709144320634648	
3341	1012519	6	0.9634216390195594	
3341	1707752	4	0.9735096742042684	
3341	1978034	1	0.9819530719890234	
3341	2499232	3	0.9694924935739032	
3461	36202	9	0.9889279118780833	
3461	66842	6	0.9936221267203226	
3461	98228	5	0.9754494311490013	
3461	112758	4	0.9782783181693169	
3461	149103	12	0.9840244980213569	
3461	230621	1	0.9928681282229125	
3461	275141	4	0.9857869393090289	
3461	1214433	4	0.9841845906721362	
3461	1595483	1	0.9922222975875556	
3461	3807015	3	0.9894285284230595	
3751	7289	1	0.9969970480415654	
3751	68079	3	0.9993760033582365	
3751	239840	3	0.9990924972207728	
3751	475850	1	0.9989224321274025	
3751	967682	2	0.9992625912543323	
3751	1194303	1	0.9925376509429695	
3753	3754	4	0.9907847636530519	
3753	5742	5	0.9879194610683877	
3753	8142	7	0.9754809605519066	
3753	16869	5	0.9929980959073128	
3753	18466	2	0.9835201889409869	
3753	27989	7	0.9778659789434192	
3753	244654	15	0.9654739753629843	
3753	304615	8	0.9860918646941014	
3753	429654	5	0.9767257521282132	
3753	552466	1	0.9830533268817446	
3753	690852	14	0.9895423427598297	
3753	751757	1	0.9839872708748084	
3753	967682	2	0.9877318605048999	
3753	1182744	1	0.9971554689226481	
3753	2040069	3	0.9716065642649946	
3753	3657661	3	0.9802567632103829	
3754	8142	2	0.9865909507235757	
3754	304615	1	0.9827409682609332	
3754	429654	1	0.9818713450292398	
3754	690852	3	0.9924062415795017	
3754	1502253	1	0.9854998169168803	
3754	3307866	1	0.9917719659124302	
3941	5742	2	0.9944469175110722	
3941	27989	4	0.992847470181301	
3941	342257	2	0.9990433643326143	
3941	527548	2	0.9841175720000901	
3941	1128242	1	0.9861748728313711	
3941	1146641	1	0.991336838774803	
3941	3251292	1	0.9916819240071427	
4015	16228	2	0.9912468362058575	
4015	74273	3	0.9766227777743159	
4015	914234	1	0.9906245411108224	
4015	1297439	7	0.9801047198855423	
4134	5944	1	0.9957456526950177	
4134	11951	1	0.9968537365183743	
4134	19762	3	0.9692161758479707	
4134	27927	2	0.9960225583425754	
4134	30878	3	0.9974698704898616	
4134	33766	6	0.9987341345440442	
4134	38360	3	0.9980863847979082	
4134	58807	1	0.9920609053280858	
4134	79352	12	0.999243375478149	
4134	156887	1	0.9961148773014821	
4134	801900	1	0.9977780800798077	
4134	6111932	1	0.9994440567969729	
4205	66617	2	0.9961714033279341	
4205	112758	1	0.9868093214128683	
4205	292657	1	0.9870034689988763	
4205	455014	2	0.9803272302298403	
4205	689281	6	0.9973969205078461	
4240	7640	1	0.9928718842764925	
4240	7954	1	0.9983595341681818	
4240	18145	3	0.999335677580505	
4240	21137	1	0.9988279640222762	
4240	22377	4	0.9984766210472001	
4240	28880	4	0.9989158190693909	
4240	42764	1	0.9966048759118024	
4240	44146	3	0.9990622613114729	
4240	45484	1	0.9988279640222762	
4240	83646	1	0.9984766210472001	
4240	110724	2	0.9994724137637605	
4240	499991	1	0.9971894195244679	
4240	780742	1	0.9976573009083627	
4240	798677	1	0.9960206743711042	
4240	1043576	1	0.9988279640222762	
4240	1595366	1	0.9982424610081471	
4240	4213259	1	0.999296613534517	
