index,count,cumsum
142,3,0.04493464052287582
141,4,0.04656862745098039
140,1,0.046977124183006536
139,1,0.04738562091503268
137,1,0.04779411764705882
136,1,0.04820261437908497
133,2,0.049019607843137254
132,1,0.0494281045751634
131,2,0.05024509803921569
130,1,0.05065359477124183
129,1,0.05106209150326797
128,2,0.051879084967320264
126,2,0.05269607843137255
125,1,0.05310457516339869
124,3,0.054330065359477125
123,2,0.05514705882352941
121,7,0.05800653594771242
120,1,0.05841503267973856
119,1,0.058823529411764705
118,3,0.06004901960784314
117,2,0.060866013071895424
115,2,0.061683006535947715
114,3,0.06290849673202614
113,3,0.06413398692810457
112,4,0.06576797385620915
111,3,0.06699346405228758
110,3,0.068218954248366
109,3,0.06944444444444445
108,3,0.07066993464052287
107,4,0.07230392156862746
106,1,0.0727124183006536
104,2,0.07352941176470588
103,3,0.07475490196078431
102,6,0.07720588235294118
101,1,0.07761437908496732
100,2,0.0784313725490196
99,1,0.07883986928104575
98,2,0.07965686274509803
97,1,0.08006535947712418
96,4,0.08169934640522876
95,4,0.08333333333333333
94,6,0.0857843137254902
93,2,0.08660130718954248
92,3,0.08782679738562091
91,5,0.08986928104575163
90,4,0.0915032679738562
89,3,0.09272875816993464
88,3,0.09395424836601307
87,3,0.0951797385620915
86,5,0.09722222222222222
85,6,0.09967320261437909
84,1,0.10008169934640523
83,4,0.1017156862745098
82,10,0.10580065359477124
81,5,0.10784313725490197
80,2,0.10866013071895425
79,5,0.11070261437908496
78,4,0.11233660130718955
77,8,0.1156045751633987
76,7,0.1184640522875817
75,6,0.12091503267973856
74,10,0.125
73,5,0.1270424836601307
72,10,0.13112745098039216
71,7,0.13398692810457516
70,6,0.136437908496732
69,6,0.1388888888888889
68,5,0.1409313725490196
67,6,0.14338235294117646
66,14,0.14910130718954248
65,5,0.1511437908496732
64,1,0.15155228758169934
63,7,0.15441176470588236
62,7,0.15727124183006536
61,10,0.1613562091503268
60,10,0.16544117647058823
59,10,0.16952614379084968
58,6,0.17197712418300654
57,10,0.176062091503268
56,10,0.1801470588235294
55,14,0.18586601307189543
54,15,0.1919934640522876
53,13,0.19730392156862744
52,18,0.20465686274509803
51,5,0.20669934640522875
50,23,0.21609477124183007
49,11,0.22058823529411764
48,25,0.23080065359477125
47,16,0.23733660130718953
46,16,0.24387254901960784
45,16,0.25040849673202614
44,28,0.2618464052287582
43,21,0.2704248366013072
42,23,0.2798202614379085
41,27,0.2908496732026144
40,23,0.3002450980392157
39,22,0.30923202614379086
38,28,0.3206699346405229
37,29,0.33251633986928103
36,12,0.3374183006535948
35,30,0.34967320261437906
34,25,0.3598856209150327
33,21,0.3684640522875817
32,37,0.38357843137254904
31,35,0.397875816993464
30,51,0.4187091503267974
29,40,0.43504901960784315
28,42,0.4522058823529412
27,39,0.4681372549019608
26,44,0.4861111111111111
25,51,0.5069444444444444
24,57,0.5302287581699346
23,53,0.5518790849673203
22,50,0.5723039215686274
21,59,0.5964052287581699
20,76,0.6274509803921569
19,64,0.6535947712418301
18,68,0.6813725490196079
17,66,0.7083333333333334
16,66,0.7352941176470589
15,82,0.7687908496732027
14,75,0.7994281045751634
13,77,0.8308823529411765
12,77,0.8623366013071896
11,63,0.8880718954248366
10,63,0.9138071895424836
9,61,0.9387254901960784
8,53,0.9603758169934641
7,28,0.9718137254901961
6,35,0.9861111111111112
5,15,0.9922385620915033
4,19,1.0
