src	trg	nij	score
104621	1373555	2	0.9999999927243688
104621	15310	3	0.9999999999532182
104621	20196	2	0.9999999978423576
104621	20215	14	1.0
104621	20226	2	0.9999999560730444
104621	20231	2	0.9999999130507712
1046329	1454753	3	0.9999999999298812
1046329	3650578	2	0.9999999846781444
1046329	781235	3	0.9999999203879808
1046329	917503	4	0.9999999999958072
1046329	922038	5	1.0
1047587	1092830	8	1.0
1047587	938976	8	1.0
1048657	1991371	1	0.999999931633266
1048657	2239257	1	0.999999825007048
1048657	3510737	2	0.9999999995734404
1048657	492026	2	0.9999999991805176
1048657	6326683	2	0.9999999999887832
104930	154749	1	0.999999997423316
1049601	319972	47	0.9999999999994896
1049601	839027	19	0.9999998058394668
10499	112933	2	0.9999999440685198
10499	31035	2	0.9999999900226404
10499	33905	2	0.99999999984376
10499	34064	3	0.9999999999990684
10499	4230335	2	0.9999999998902588
10499	52613	2	0.999999996852152
10499	52875	2	0.9999999986440514
10499	6416308	1	0.9999998211264
105033	19777	6	0.9999999999998496
105033	19788	3	0.9999999701504124
105033	19789	6	0.9999999999999932
105033	19799	4	0.9999999891958856
105033	23510	3	0.9999999929892418
105033	242724	3	0.9999999902844612
105033	36207	5	0.9999999999937048
105033	36240	5	0.9999999999919345
105033	41072	4	0.9999999999406884
105033	459446	5	0.999999999998856
105033	49963	2	0.9999998721192817
105033	50306	2	0.9999999730425284
105033	53440	3	0.99999998740249
105033	73973	9	1.0
105033	88801	5	0.9999999999839724
105033	91762	5	0.9999999999916508
105033	98608	4	0.9999999877442622
1051236	1051278	3	0.999999889636146
1051236	1051279	3	0.9999999539025022
1051236	1051395	9	1.0
1051236	1051430	6	0.9999999999999292
1051236	1125595	7	0.9999999999999872
1051236	1125596	6	0.9999999999988146
1051236	1211760	5	0.9999999999897328
1051236	1226308	5	0.9999999999864072
1051236	1385149	4	0.9999999988434588
1051236	1456443	5	0.9999999999669374
1051236	1460566	7	0.9999999999999932
1051236	1719291	3	0.9999999203696236
1051236	1797935	3	0.9999999508256028
1051236	2213359	4	0.999999999953085
1051236	2628049	5	0.9999999999822315
1051236	3984720	2	0.9999998960438136
1051236	401635	4	0.9999999969919776
1051236	905358	4	0.9999999871838626
1051236	917469	11	1.0
1051236	917472	7	0.999999999999966
1051236	917508	11	1.0
1051236	921305	12	1.0
1051236	921307	11	1.0
1051236	921313	6	0.9999999999999648
1051236	921314	7	0.9999999999999952
1051236	926710	3	0.9999999849970864
1051236	926915	7	0.9999999999999782
1051256	1051257	2	0.9999998468440672
1051256	1122676	6	0.9999999999999982
1051256	1212701	3	0.999999975502425
1051256	1230048	3	0.999999997004325
1051256	1246948	3	0.9999999975670744
1051256	1455893	2	0.99999987157404
1051256	281974	3	0.9999999734948372
1051256	299238	4	0.9999999558650348
1051256	436167	3	0.9999999615553948
1051256	696181	7	1.0
1051256	761898	8	1.0
1051256	769839	3	0.9999998077838588
1051256	821003	4	0.9999999997147824
1051256	870650	4	0.9999999998262438
1051256	89108	5	0.9999999999999312
1051256	899146	7	1.0
1051256	921783	10	1.0
1051256	927829	2	0.99999987157404
1051256	929908	5	0.9999999999994048
1051256	929969	7	1.0
1051257	1119091	4	0.9999999999999946
1051257	1122676	3	0.9999999998866016
1051257	1391569	2	0.9999999962815224
1051257	89108	3	0.999999999968392
1051257	899146	3	0.9999999999045044
1051257	921783	3	0.999999999796349
1051278	1051279	2	0.9999998303243264
1051278	1166520	2	0.9999998303243264
1051278	1338658	2	0.9999999064309574
1051278	1456443	4	0.9999999999893302
1051278	4077708	2	0.9999998614935668
1051278	921305	3	0.9999999882596542
1051278	925020	2	0.99999990071609
1051278	932480	2	0.9999998131280672
1051278	976382	2	0.9999999064309574
1051279	1125595	5	0.999999999999964
1051279	1125596	3	0.999999996786731
1051279	1460566	3	0.9999999973547522
1051279	2874947	3	0.9999999999758802
1051279	917472	3	0.9999999940602712
1051279	919425	2	0.9999998937340556
1051279	921305	3	0.99999999510974
1051279	921307	3	0.999999997265759
1051279	921313	3	0.999999999572414
1051395	1051430	5	0.999999999999967
1051395	1125595	3	0.9999999804779888
1051395	1211760	4	0.9999999999890288
1051395	1385149	4	0.9999999999908687
1051395	1460566	3	0.9999999858035928
1051395	2628049	3	0.9999999952831072
1051395	921305	3	0.9999999737843258
1051395	921307	4	0.9999999999282196
1051395	921313	4	0.9999999999929295
1051395	926915	4	0.9999999998568352
1051424	1415870	1	0.9999998637534898
1051424	1640341	5	1.0
1051424	2464761	5	1.0
1051424	976382	4	0.999999999999999
1051425	919425	2	0.9999999414103308
1051430	1063398	2	0.99999995278539
1051430	1125595	3	0.9999999869805252
1051430	1460566	3	0.999999990533718
1051430	3984720	3	0.9999999999969624
1051430	905358	3	0.9999999869805252
1051430	921305	4	0.9999999999106072
1051430	921307	3	0.9999999902156383
1051430	921313	6	1.0
1051430	926915	4	0.9999999999137412
1052457	1614466	2	0.9999999999996652
1053623	1932389	9	0.999999999998914
1053623	490256	17	0.9999999999936766
1054252	17540	5	0.9999999933884692
1054252	261016	6	0.9999999865656148
1054252	8722	7	0.9999999789992844
1055710	1847235	2	0.999999876337165
105591	1181868	3	0.9999999999998668
105591	18623	1	0.99999999148237
