band,artist_id
Mads Langer,1032769
Magtens Korridorer,667866
Malk De Kojin,287559
Malurt,250432
Marguerite Viby,2406152
Marie Key,899263
Marius Jacobsen,3223211
Marvelous Mosell,3320772
Me & My,33894
Medina,1544699
Mental Generation,40110
Mercyful Fate,251799
Mew,262995
Michael Falch,426630
Michael Hardinger,715957
Michael Learns To Rock,333403
Mikael Simpson,247991
Mogens Wieth,1660268
Monrad & Rislund,692587
Moral,510823
Moses,2693970
Mund De Carlo,1592447
Myrkur,4001024
Mythic Sunship,3156119
MØ,1883733
Møl,4239619
Nanna,650998
Natasja,132551
Nekromantix,304789
Nephew,258050
News,250400
Niels Hansen,4097775
Niels Hausgaard,727933
Niels-Henning Ørsted Pedersen,285231
Night Fever,1694974
Nik & Jay,387851
Nina & Frederik,640070
No Hope For The Kids,1232370
Noir,148640
Nortt,264031
Oh Land,1707752
One Two,250441
Opiate,401
Oscar Stribolt,4097821
Osvald Helmuth,1339617
Otto Brandenburg,539935
Otto Lington,1912200
Otto Lington Og Hans Lingtonians,3736781
Otto Lington Og Hans Orkester,3786935
Outlandish,220035
Ove Sprogøe,2088309
Palle Mikkelborg,237981
Pan,186119
Papa Bue's Viking Jazz Band,271486
Papir,2055186
Pernille Rosendahl,56489
Peter Sommer,273097
Peter Sørensen,1481371
Phlake,4424071
Poul Krebs,568464
Poul Reichhardt,1285803
Povl Dissing,316077
Povl Dissing & Benny Andersen,1703828
Powersolo,464765
Pretty Maids,277227
Pronto,3519131
Psyched Up Janis,257293
Puddu Varano,40716
På Slaget 12,689272
Raquel Rastenni,1215329
Rasmus Nøhr,396235
Rasmus Seebach,1012519
Rasmus Walter,3372262
Ray Dee Ohh,602426
Red Warszawa,906023
Robert Storm Petersen,3874781
Rocazino,577753
Rockers By Choice,489715
Rollo & King,669861
Rot Away,9829798
Royal Hunt,373253
Rugsted Kreutzfeldt,762785
Røde Mor,758950
S.A.M.,3088584
Safri Duo,4015
Sanne Salomonsen,232045
Saturnus,468181
Saybia,257976
Scala Teatrets Orkester,3736779
Scarlet Pleasure,3706714
Sebastian,250428
Secret Oyster,707382
Shit & Chanel,1069076
Shu-bi-dua,250431
Sir Henry and his Butlers,605570
Sivas,1622094
Skagarack,568481
Skousen & Ingemann,532042
Sleep Party People,1533658
Sleiman,5134104
Slåbrock Band,1292568
Sneakers,2659274
Sods,289759
Sort Sol,275907
Soulmagic,96207
Spids Nøgenhat,1525304
Spleen United,361945
Starfuckers,707598
Statsradiofoniens Symfoniorkester,5558620
Steppeulvene,762948
Susi Hyldgaard,326376
Suspekt,489713
Svend Asmussen,95459
Svend Asmussen Sextet,2046112
Svend Asmussens Kvintet,4310416
Svend Asmussens Orkester,2232743
Svend Asmussens Skandia Trio,3738699
Swan Lee,89814
Sylvester Og Svalerne,762839
Sys Bjerre,760455
Sys Gregers,1926904
Søren Huss,771237
Søren Kragh-Jacobsen,707368
Søs Fenger,539938
TNT,99571
Teddy Petersen Og Hans Orkester,3736769
Tenna Frederiksen,4097774
The Boulevard Connection,27520
The Danish Sharks,1928202
The Kordt Sisters,2425462
The Minds Of 99,3489161
The Okey-Dokies,2986738
The Old Man & The Sea,1589669
The Psyke Project,692229
The Raveonettes,200321
The Sandmen,535750
The Savage Rose,401513
The Seebach Band,431736
Thomas Blachman,435659
Thomas Buttenschøn,760457
Thomas Helmig,203916
Thomas Helmig Brothers,1270023
Thors Hammer,930327
Tim Christensen,257958
Tina Dickow,316085
Tobias Rahim,4435599
Tommy Seebach,493503
Topgunn,2425531
Trentemøller,117914
Trille,707372
Trine Dyrholm,924338
Tørfisk,1039202
Tøsedrengene,426633
Uffe Lorentzen,1598223
Ulrik Neumann,727951
Under Byen,239257
Undergang,1805807
Usipian,1444690
VOLA,3652537
Valdemar Davids,2986835
Valdemar Schiøler Linck,3176060
Veto,558507
Victor Cornelius,727966
Vilhelm Herold,1233636
Vinnie Who,1736469
Volbeat,537021
Vulvatorious,11197568
When Saints Go Machine,1191739
Winstrup Olesen's Bellevue Orkester,5939153
Witch Cross,1521273
Xenoblight,6298973
Yasmin,157594
Young Flowers,1640133
tv-2,465093
Østkyst Hustlers,396477
